FPGA Time,Match Time,Theta,Left Front Absolute,Left Front Assumed,Right Front Absolute,Right Front Assumed,Left Rear Absolute,Left Rear Assumed,Right Rear Absolute,Right Rear Assumed,TargetX,TargetY,TargetTheta,Pose Theta,poseX,poseY,Shoulder Absolute Pos,Shoulder Motor Pos,Extension Pos,Elbow Absolute Pos,Elbow Motor Pos,Shoulder Desired Pos,Extension Desired Pos,Elbow Desired Pos,determineArmZoneHandOff,DesiredIntakeAngle,Commanded Extension Position,AutoState,Driving,
2.773089,-1.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
3.716213,-1.0,-82.9522705078125,,,,,,,,,,,,-82.99072265625,0.0,0.0,,,2.4609375,,,,,,,,,,,
3.72813,-1.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
3.761158,-1.0,-83.0401611328125,,,,,,,,,,,,-83.0401611328125,0.0,0.0,,,2.4609375,,,,,,,,,,,
3.768855,-1.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
3.800009,-1.0,-83.02642822265625,,,,,,,,,,,,-83.02642822265625,0.0,0.0,,,2.4609375,,,,,,,,,,,
3.806102,-1.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
3.842363,-1.0,-83.03741455078125,,,,,,,,,,,,-83.03741455078125,0.0,0.0,,,2.4609375,,,,,,,,,,,
3.878261,-1.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
3.912776,-1.0,-83.0291748046875,,,,,,,,,,,,-83.0291748046875,0.0,0.0,,,2.4609375,,,,,,,,,,,
3.920449,-1.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
3.966965,-1.0,-83.0291748046875,,,,,,,,,,,,-83.0291748046875,0.0,0.0,,,2.4609375,,,,,,,,,,,
3.986695,-1.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
4.036235,-1.0,-83.02642822265625,,,,,,,,,,,,-83.02642822265625,0.0,0.0,,,2.4609375,,,,,,,,,,,
4.055913,-1.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
4.086325,-1.0,-83.02642822265625,,,,,,,,,,,,-83.02642822265625,0.0,0.0,,,2.4609375,,,,,,,,,,,
4.090689,-1.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
4.134397,-1.0,-83.01544189453125,,,,,,,,,,,,-83.01544189453125,0.0,0.0,,,2.4609375,,,,,,,,,,,
4.139258,-1.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
4.153408,-1.0,-83.00445556640625,,,,,,,,,,,,-83.00445556640625,0.0,0.0,,,2.4609375,,,,,,,,,,,
4.1578,-1.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
4.224696,-1.0,-83.001708984375,,,,,,,,,,,,-83.001708984375,0.0,0.0,,,2.4609375,,,,,,,,,,,
4.227462,-1.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
4.243443,-1.0,-83.01544189453125,,,,,,,,,,,,-83.01544189453125,0.0,0.0,,,2.4609375,,,,,,,,,,,
4.24722,-1.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
4.260129,-1.0,-83.01544189453125,,,,,,,,,,,,-83.01544189453125,0.0,0.0,,,2.4609375,,,,,,,,,,,
4.262658,-1.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
4.275126,-1.0,-83.00445556640625,,,,,,,,,,,,-83.00445556640625,0.0,0.0,,,2.4609375,,,,,,,,,,,
4.278276,-1.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
4.289953,-1.0,-82.99896240234375,,,,,,,,,,,,-82.99896240234375,0.0,0.0,,,2.4609375,,,,,,,,,,,
4.292621,-1.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
4.304395,-1.0,-82.99072265625,,,,,,,,,,,,-82.99072265625,0.0,0.0,,,2.4609375,,,,,,,,,,,
4.306941,-1.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
4.318891,-1.0,-82.98797607421875,,,,,,,,,,,,-82.98797607421875,0.0,0.0,,,2.4609375,,,,,,,,,,,
4.321603,-1.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
4.337819,-1.0,-82.98248291015625,,,,,,,,,,,,-82.98248291015625,0.0,0.0,,,2.4609375,,,,,,,,,,,
4.340576,-1.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
4.369189,-1.0,-82.98248291015625,,,,,,,,,,,,-82.98248291015625,0.0,0.0,,,2.4609375,,,,,,,,,,,
4.371751,-1.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
4.383078,-1.0,-82.99072265625,,,,,,,,,,,,-82.99072265625,0.0,0.0,,,2.4609375,,,,,,,,,,,
4.386084,-1.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
4.404676,-1.0,-82.99072265625,,,,,,,,,,,,-82.99072265625,0.0,0.0,,,2.4609375,,,,,,,,,,,
4.407011,-1.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
4.424118,-1.0,-82.979736328125,,,,,,,,,,,,-82.979736328125,0.0,0.0,,,2.4609375,,,,,,,,,,,
4.426562,-1.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
4.437122,-1.0,-82.98248291015625,,,,,,,,,,,,-82.98248291015625,0.0,0.0,,,2.4609375,,,,,,,,,,,
4.440019,-1.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
4.450049,-1.0,-82.98248291015625,,,,,,,,,,,,-82.98248291015625,0.0,0.0,,,2.4609375,,,,,,,,,,,
4.452685,-1.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
4.470212,-1.0,-82.99072265625,,,,,,,,,,,,-82.99072265625,0.0,0.0,,,2.4609375,,,,,,,,,,,
4.472615,-1.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
4.48495,-1.0,-82.979736328125,,,,,,,,,,,,-82.979736328125,0.0,0.0,,,2.4609375,,,,,,,,,,,
4.487612,-1.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
4.503188,-1.0,-82.96875,,,,,,,,,,,,-82.96875,0.0,0.0,,,2.4609375,,,,,,,,,,,
4.505757,-1.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
