FPGA Time,Match Time,Theta,Left Front Absolute,Left Front Assumed,Right Front Absolute,Right Front Assumed,Left Rear Absolute,Left Rear Assumed,Right Rear Absolute,Right Rear Assumed,TargetX,TargetY,TargetTheta,Pose Theta,poseX,poseY,Shoulder Absolute Pos,Shoulder Motor Pos,Extension Pos,Elbow Absolute Pos,Elbow Motor Pos,Shoulder Desired Pos,Extension Desired Pos,Elbow Desired Pos,determineArmZoneHandOff,DesiredIntakeAngle,Commanded Extension Position,AutoState,Driving,
3.802305,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
4.677945,0.0,-89.76104736328125,,,,,,,,,,,,-89.76104736328126,0.0,0.0,,,327.744140625,,,,,,,,,,,
4.686614,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
4.723393,0.0,-89.76104736328125,,,,,,,,,,,,-89.76104736328126,0.0,0.0,,,327.744140625,,,,,,,,,,,
4.726868,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
4.755823,0.0,-89.76104736328125,,,,,,,,,,,,-89.76104736328126,0.0,0.0,,,327.744140625,,,,,,,,,,,
4.762793,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
4.813322,0.0,-89.76104736328125,,,,,,,,,,,,-89.76104736328126,0.0,0.0,,,327.744140625,,,,,,,,,,,
4.872334,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
4.903435,0.0,-89.7637939453125,,,,,,,,,,,,-89.7637939453125,0.0,0.0,,,327.744140625,,,,,,,,,,,
4.906507,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
4.917815,0.0,-89.7637939453125,,,,,,,,,,,,-89.7637939453125,0.0,0.0,,,327.744140625,,,,,,,,,,,
4.921104,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
4.931796,0.0,-89.7637939453125,,,,,,,,,,,,-89.7637939453125,0.0,0.0,,,327.744140625,,,,,,,,,,,
4.934744,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
4.945429,0.0,-89.7637939453125,,,,,,,,,,,,-89.7637939453125,0.0,0.0,,,327.744140625,,,,,,,,,,,
4.948464,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
4.959762,0.0,-89.7637939453125,,,,,,,,,,,,-89.7637939453125,0.0,0.0,,,327.744140625,,,,,,,,,,,
4.963426,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
4.975423,0.0,-89.7637939453125,,,,,,,,,,,,-89.7637939453125,0.0,0.0,,,327.744140625,,,,,,,,,,,
4.978945,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
4.990555,0.0,-89.76104736328125,,,,,,,,,,,,-89.76104736328126,0.0,0.0,,,327.744140625,,,,,,,,,,,
4.993932,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
5.00758,0.0,-89.76104736328125,,,,,,,,,,,,-89.76104736328126,0.0,0.0,,,327.744140625,,,,,,,,,,,
5.011407,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
5.021356,0.0,-89.76104736328125,,,,,,,,,,,,-89.76104736328126,0.0,0.0,,,327.744140625,,,,,,,,,,,
5.023853,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
5.037158,0.0,-89.76104736328125,,,,,,,,,,,,-89.76104736328126,0.0,0.0,,,327.744140625,,,,,,,,,,,
5.039509,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
5.073205,0.0,-89.76104736328125,,,,,,,,,,,,-89.76104736328126,0.0,0.0,,,327.744140625,,,,,,,,,,,
5.075602,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
5.085892,0.0,-89.76104736328125,,,,,,,,,,,,-89.76104736328126,0.0,0.0,,,327.744140625,,,,,,,,,,,
5.088303,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
5.097294,0.0,-89.7637939453125,,,,,,,,,,,,-89.7637939453125,0.0,0.0,,,327.744140625,,,,,,,,,,,
5.099576,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
5.109859,0.0,-89.7637939453125,,,,,,,,,,,,-89.7637939453125,0.0,0.0,,,327.744140625,,,,,,,,,,,
5.112011,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
5.122051,0.0,-89.76104736328125,,,,,,,,,,,,-89.76104736328126,0.0,0.0,,,327.744140625,,,,,,,,,,,
5.124726,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
5.134515,0.0,-89.76104736328125,,,,,,,,,,,,-89.76104736328126,0.0,0.0,,,327.744140625,,,,,,,,,,,
5.137374,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
5.146471,0.0,-89.76104736328125,,,,,,,,,,,,-89.76104736328126,0.0,0.0,,,327.744140625,,,,,,,,,,,
5.148718,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
