FPGA Time,Match Time,Theta,Left Front Absolute,Left Front Assumed,Right Front Absolute,Right Front Assumed,Left Rear Absolute,Left Rear Assumed,Right Rear Absolute,Right Rear Assumed,TargetX,TargetY,TargetTheta,Pose Theta,poseX,poseY,Shoulder Absolute Pos,Shoulder Motor Pos,Extension Pos,Elbow Absolute Pos,Elbow Motor Pos,Shoulder Desired Pos,Extension Desired Pos,Elbow Desired Pos,determineArmZoneHandOff,DesiredIntakeAngle,Commanded Extension Position,AutoState,Driving,
4.203664,-1.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
5.234008,-1.0,-83.638916015625,,,,,,,,,,,,-83.638916015625,0.0,0.0,,,2.63671875,,,,,,,,,,,
5.243646,-1.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
5.267694,-1.0,-83.64166259765625,,,,,,,,,,,,-83.64166259765625,0.0,0.0,,,2.63671875,,,,,,,,,,,
5.277532,-1.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
5.342406,-1.0,-83.638916015625,,,,,,,,,,,,-83.638916015625,0.0,0.0,,,2.63671875,,,,,,,,,,,
5.347366,-1.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
5.380997,-1.0,-83.64166259765625,,,,,,,,,,,,-83.64166259765625,0.0,0.0,,,2.63671875,,,,,,,,,,,
5.38992,-1.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
5.422519,-1.0,-83.64990234375,,,,,,,,,,,,-83.64990234375,0.0,0.0,,,2.63671875,,,,,,,,,,,
5.432108,-1.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
5.463578,-1.0,-83.64166259765625,,,,,,,,,,,,-83.64166259765625,0.0,0.0,,,2.63671875,,,,,,,,,,,
5.476165,-1.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
5.509456,-1.0,-83.64166259765625,,,,,,,,,,,,-83.64166259765625,0.0,0.0,,,2.63671875,,,,,,,,,,,
5.514014,-1.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
