FPGA Time,Match Time,Theta,Left Front Absolute,Left Front Assumed,Right Front Absolute,Right Front Assumed,Left Rear Absolute,Left Rear Assumed,Right Rear Absolute,Right Rear Assumed,TargetX,TargetY,TargetTheta,Pose Theta,poseX,poseY,Shoulder Absolute Pos,Shoulder Motor Pos,Extension Pos,Elbow Absolute Pos,Elbow Motor Pos,Shoulder Desired Pos,Extension Desired Pos,Elbow Desired Pos,determineArmZoneHandOff,DesiredIntakeAngle,Commanded Extension Position,AutoState,Driving,
4.962163,-1.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
6.011381,-1.0,-83.03741455078125,,,,,,,,,,,,-83.03192138671875,0.0,0.0,,,2.4609375,,,,,,,,,,,
6.016945,-1.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
6.048076,-1.0,-83.0291748046875,,,,,,,,,,,,-83.0291748046875,0.0,0.0,,,2.4609375,,,,,,,,,,,
6.05675,-1.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
6.086779,-1.0,-83.0291748046875,,,,,,,,,,,,-83.0291748046875,0.0,0.0,,,2.4609375,,,,,,,,,,,
6.094765,-1.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
6.121174,-1.0,-83.0401611328125,,,,,,,,,,,,-83.0401611328125,0.0,0.0,,,2.4609375,,,,,,,,,,,
6.12803,-1.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
6.184023,-1.0,-83.0401611328125,,,,,,,,,,,,-83.0401611328125,0.0,0.0,,,2.4609375,,,,,,,,,,,
6.188242,-1.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
6.212973,-1.0,-83.03192138671875,,,,,,,,,,,,-83.03192138671875,0.0,0.0,,,2.4609375,,,,,,,,,,,
6.218256,-1.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
6.243686,-1.0,-83.0126953125,,,,,,,,,,,,-83.0126953125,0.0,0.0,,,2.4609375,,,,,,,,,,,
6.248446,-1.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
6.280568,-1.0,-83.01544189453125,,,,,,,,,,,,-83.01544189453125,0.0,0.0,,,2.4609375,,,,,,,,,,,
6.29113,-1.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
6.320655,-1.0,-83.01544189453125,,,,,,,,,,,,-83.01544189453125,0.0,0.0,,,2.4609375,,,,,,,,,,,
6.326869,-1.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
6.35771,-1.0,-83.03466796875,,,,,,,,,,,,-83.03466796875,0.0,0.0,,,2.4609375,,,,,,,,,,,
6.364174,-1.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
6.475834,-1.0,-83.0621337890625,,,,,,,,,,,,-83.06488037109375,0.0,0.0,,,2.4609375,,,,,,,,,,,
6.487538,-1.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
6.526449,-1.0,-83.0181884765625,,,,,,,,,,,,-83.0181884765625,0.0,0.0,,,2.4609375,,,,,,,,,,,
6.531427,-1.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
6.546548,-1.0,-83.02093505859375,,,,,,,,,,,,-83.02093505859375,0.0,0.0,,,2.4609375,,,,,,,,,,,
6.551531,-1.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
6.566868,-1.0,-83.03466796875,,,,,,,,,,,,-83.03466796875,0.0,0.0,,,2.4609375,,,,,,,,,,,
6.571354,-1.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
6.583879,-1.0,-83.04840087890625,,,,,,,,,,,,-83.04840087890625,0.0,0.0,,,2.4609375,,,,,,,,,,,
6.586645,-1.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
6.602392,-1.0,-83.04840087890625,,,,,,,,,,,,-83.04840087890625,0.0,0.0,,,2.4609375,,,,,,,,,,,
6.605248,-1.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
6.617458,-1.0,-83.0511474609375,,,,,,,,,,,,-83.0511474609375,0.0,0.0,,,2.4609375,,,,,,,,,,,
6.620302,-1.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
6.631679,-1.0,-83.056640625,,,,,,,,,,,,-83.05664062500001,0.0,0.0,,,2.4609375,,,,,,,,,,,
6.651779,-1.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
6.667718,-1.0,-83.0511474609375,,,,,,,,,,,,-83.0511474609375,0.0,0.0,,,2.4609375,,,,,,,,,,,
6.671495,-1.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
6.683765,-1.0,-83.04840087890625,,,,,,,,,,,,-83.04840087890625,0.0,0.0,,,2.4609375,,,,,,,,,,,
6.686421,-1.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
6.701077,-1.0,-83.0511474609375,,,,,,,,,,,,-83.0511474609375,0.0,0.0,,,2.4609375,,,,,,,,,,,
6.703468,-1.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
6.722652,-1.0,-83.06488037109375,,,,,,,,,,,,-83.06488037109375,0.0,0.0,,,2.4609375,,,,,,,,,,,
6.724636,-1.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
6.84463,-1.0,-83.067626953125,,,,,,,,,,,,-83.067626953125,0.0,0.0,,,2.4609375,,,,,,none,0.0,,,,
6.848118,-1.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
6.885624,-1.0,-83.0621337890625,,,,,,,,,,,,-83.0621337890625,1.0135448982166087E-4,1.517665115450277E-5,,,2.4609375,,,,,,none,0.0,,,,
6.887981,-1.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
