# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,1.8314390832717273,4.402487660073711,13.00743111927963,0,3.0,-0.3704194034063307,-90.0,0.0,0.03717638841370843
 0.09557170504921444,1.8447884557847563,4.405571429276072,13.00743111927963,0.28671511514764325,2.999999999999999,-0.3704194034063307,-89.99644698917173,-7.310735384189243,0.2661696715583229
 0.1356156039683724,1.8583343963342702,4.408627786152403,12.714680770530443,0.4068468119051172,3.000000000000001,-0.3532877622263196,-89.9857885177485,-9.117578415867138,0.5723532748252206
 0.16664931986247106,1.8720750915327309,4.411656851849983,12.431728432330257,0.4999479595874131,3.0,-0.3372158790329315,-89.96802626882652,-10.358279033817219,0.941218034967649
 0.19306532617772212,1.8860087279926003,4.414658747516098,12.158104067957808,0.5791959785331663,2.999999999999999,-0.3221238595303593,-89.94316304727079,-11.269009728115739,1.3604431905554184
 0.2165578675939664,1.9001334923263407,4.41763359429803,11.89336639019999,0.6496736027818991,3.0000000000000013,-0.3079388097478513,-89.91120277927222,-11.955835769695893,1.8219474284073887
 0.2379922223594754,1.9144475711464137,4.420581513343061,11.637100764794166,0.7139766670784261,2.9999999999999987,-0.29459414589997135,-89.87215051172763,-12.47906173657909,2.3198973983947098
 0.25788021409427797,1.9289491510652819,4.4235026257984735,11.38891728811899,0.7736406422828338,2.9999999999999987,-0.2820289789616708,-89.82601241144276,-12.877409508791397,2.849825361218105
 0.2765538661743122,1.9436364186954065,4.42639705281155,11.148449023259694,0.8296615985229365,3.0,-0.27018756510842834,-89.77279576415852,-13.177678080652802,3.4081705073233817
 0.2942427671927908,1.95850756064925,4.429264915529574,10.915350380037651,0.8827283015783723,3.000000000000003,-0.2590188146290105,-89.71250897340038,-13.399377821940263,3.992012699641117
 0.3111133082747182,1.9735607635392742,4.432106335099827,10.689295626020343,0.9333399248241545,2.9999999999999933,-0.248475852597176,-89.6451615591515,-13.557236741841432,4.598905243656571
 0.32729050672968185,1.9887942139779413,4.434921432669592,10.469977516746647,0.9818715201890453,2.9999999999999964,-0.2385156252267598,-89.5707641563493,-13.662677002284783,5.22676348006386
 0.34287101720309077,2.004206098577713,4.437710329386151,10.257106034617747,1.028613051609272,2.999999999999993,-0.22909854696851678,-89.48932851320613,-13.724742693754012,5.873787098816322
 0.3579313219713557,2.019794603951051,4.440473146396788,10.050407226783793,1.0737939659140667,3.0,-0.2201881836623571,-89.40086748935406,-13.750712886182349,6.5384039610353355
 0.37253311716613996,2.0355579167104185,4.443210004848785,9.84962213343748,1.1175993514984197,3.0000000000000115,-0.21175096776201036,-89.30539505381425,-13.746523386036129,7.219228253603421
 0.386726984907073,2.0514942234682763,4.445921025889423,9.65450579859844,1.1601809547212187,2.9999999999999885,-0.20375594189063645,-89.202926282791,-13.717066595909039,7.915028546010231
 0.4005549736330342,2.067601710837087,4.448606330665987,9.46482635635695,1.2016649208991024,3.000000000000004,-0.19617452841695396,-89.0934773572911,-13.666410621340418,8.624702898770247
 0.4140524584842517,2.083878565429312,4.451266040325757,9.28036418602489,1.2421573754527548,3.0,-0.18898032105733392,-88.9770655605687,-13.597963073165882,9.347259123977034
 0.427249512672715,2.100322973857414,4.453900276016019,9.100911130495597,1.2817485380181446,2.9999999999999916,-0.1821488969305307,-88.85370927539597,-13.514595948513875,10.081798894296254
 0.44017193808524374,2.1169331227338546,4.456509158884052,8.926269772370462,1.320515814255731,3.0000000000000084,-0.1756576469607344,-88.72342798116031,-13.41874242269279,10.827504782139329
 0.45284205305006997,2.1337071986710963,4.459092810077142,8.756252763191554,1.3585261591502096,2.9999999999999956,-0.16948562220934765,-88.5862422507884,-13.312472978525973,11.583629567609236
 0.4652793036070053,2.1506433882816,4.461651350742569,8.590682201225196,1.3958379108210155,2.999999999999991,-0.16361339465422395,-88.44217374749732,-13.197556012791585,12.349487329124145
 0.47750074423049793,2.1677398781778288,4.464184902027616,8.429389054039646,1.4325022326914933,3.0,-0.1580229313179485,-88.29124522137386,-13.075506643580539,13.124445953390445
 0.4895214204672104,2.1849948549722438,4.4666935850795655,8.272212622046181,1.468564261401631,3.0000000000000138,-0.1526974796182641,-88.13348050578192,-12.947626374915492,13.907920788554515
 0.5013546768313402,2.202406505277308,4.469177521045701,8.119000039844838,1.50406403049402,2.999999999999986,-0.14762146349237784,-87.96890451359894,-12.815035616918816,14.699369227885006
 0.5130124070142077,2.2199730157054822,4.4716368310733055,7.969605812338961,1.5390372210426226,3.0,-0.14278038891890668,-87.79754323328191,-12.678700553348943,15.498286058025615
 0.5245052590529141,2.2376925728692294,4.4740716363096595,7.823891382836257,1.573515777158742,3.0000000000000098,-0.13816075794331417,-87.61942372476348,-12.539455479798335,16.304199440836463
 0.535842804956677,2.255563363381011,4.476482057902048,7.681724730725851,1.6075284148700308,3.0000000000000098,-0.13374999005154184,-87.43457411517889,-12.39802150754363,17.116667424356347
 0.5470336820126849,2.2735835738532892,4.478868216997752,7.5429799962971895,1.6411010460380546,3.00000000000002,-0.12953635106837946,-87.24302359442434,-12.255022283025662,17.935274898750432
 0.5580857113234049,2.291751390898526,4.481230234744054,7.407537130821662,1.6742571339702148,3.00000000000001,-0.12550888762619572,-87.04480241054753,-12.110997298170268,18.75963092891006
